Combination,Propellant Mass [kg],Inert Mass [kg],Total Mass [kg] (including payload),First Stage Burn Time [sec],Second Stage Burn Time [sec],Maximum Dynamic Pressure (Max Q) [kPa],Delta V [km/s],Payload Mass (kg),Alt [km],Diameter 1,Diameter 2,(L/D),Name of Tester,Evaluation Function,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Normalized Data by max value,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D factor,Weights,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Value,Cost,,,Value,Cost
02050814,41.0846763,8.86325041,54.9479267,10.3470237,8.88150456,422.846812,3.9503,5,300,4.5,4,27.37239682,,,1.373466304,0.5,2.896591677,0.2921805531,0.7416241799,0.9172842333,,0.6681111339,0.5,0.75,0.6713137626,0.4391344118,0.9172856788,,,,,,,,0.813,0.578,,,0.788,0.601
02050815,46.7550106,10.0491774,61.8041881,11.9367829,9.90168454,354.200695,4.09,5,400,4.5,4,31.15021995,,,1.559890531,0.5,3.862122236,0.3325060847,0.6212268663,0.860123095,,0.7587956315,0.5,1,0.7639656658,0.367844121,0.8601244504,,,,,,,,0.912,0.604,,,0.933,0.645
02060709,25.2071367,5.51909691,35.7262336,5.99698351,5.89587525,796.14032,3.3896,5,100,5,3.5,16.79408993,Jonathan,,0.8494899114,0.5,0.965530559,0.1792647724,1.396337622,0.9740394571,,0.4132272238,0.5,0.25,0.4118785714,0.8268067803,0.974040992,,,,,,,,0.588,0.578,,,0.480,0.536
02060710,27.3604591,5.97530506,38.3357642,6.57537542,6.31550053,751.757531,3.4866,5,125,5,3.5,18.22872689,Ari ,,0.9207768536,0.5,1.206913199,0.1945784851,1.318495367,0.9951363194,,0.4479041574,0.5,0.3125,0.4470633433,0.7807144144,0.9951378876,,,,,,,,0.629,0.581,,,0.527,0.547
02060711,29.4033168,6.40718529,40.8105021,7.12808874,6.70851095,695.053037,3.571,5,150,5,3.5,19.58976747,Ari ,,0.9883285493,0.5,1.448295839,0.2091066096,1.219042272,0.9999790019,,0.4807641117,0.5,0.375,0.4804431484,0.7218257249,0.9999805777,,,,,,,,0.662,0.577,,,0.569,0.553
02060712,32.9303849,7.15098269,45.0813676,8.09043226,7.37681435,606.656209,3.702,5,200,5,3.5,21.93965351,Ari ,,1.104803329,0.5,1.931061118,0.2341899448,1.064004506,0.9876349245,,0.537422289,0.5,0.5,0.5380745957,0.6300239471,0.9876364808,,,,,,,,0.719,0.575,,,0.646,0.566
02060713,36.0986385,7.81736306,48.9160015,8.96244453,7.96748928,538.856279,3.8064,5,250,5,3.5,24.05048175,,,1.209280986,0.5,2.413826398,0.2567215107,0.9450913065,0.9642013051,,0.5882445667,0.5,0.625,0.5898431001,0.5596124375,0.9642028246,,,,,,,,0.771,0.577,,,0.721,0.581
02060714,39.1744811,8.46293606,52.6374172,9.81495909,8.53340012,481.188229,3.8978,5,300,5,3.5,26.09974176,,,1.310597086,0.5,2.896591677,0.2785958802,0.843948247,0.9360586996,,0.6375289315,0.5,0.75,0.6401016309,0.4997230769,0.9360601747,,,,,,,,0.821,0.583,,,0.793,0.598
02060715,44.9032461,9.66225438,59.5655005,11.4160291,9.57053731,392.704632,4.0468,5,400,5,3.5,29.91649396,,,1.499040458,0.5,3.862122236,0.3193369515,0.6887582983,0.8787667516,,0.7291956249,0.5,1,0.7337082778,0.4078311878,0.8787681364,,,,,,,,0.920,0.602,,,0.939,0.635
02060809,28.7020887,6.25903416,39.9611229,6.93795265,6.57412955,649.616564,3.5428,5,100,5,4,16.10926437,Ari ,,0.9651487286,0.5,0.965530559,0.2041197086,1.139351978,0.9556966627,,0.4694884828,0.5,0.25,0.4689852494,0.6746390884,0.9556981687,,,,,,,,0.580,0.551,,,0.474,0.531
02060810,31.0124445,6.74679731,42.7592418,7.56594438,7.01491409,598.963484,3.6329,5,125,5,4,17.40596904,Ari ,,1.041489891,0.5,1.206913199,0.2205501906,1.050512361,0.985526626,,0.5066239992,0.5,0.3125,0.5067359093,0.6220349067,0.985528179,,,,,,,,0.625,0.553,,,0.524,0.541
02060811,32.9418831,7.15340394,45.0952871,8.09358445,7.37897343,560.109726,3.7024,5,150,5,4,18.48888104,Ashish,,1.105182706,0.5,1.448295839,0.2342717162,0.9823673832,0.9970092284,,0.5376068334,0.5,0.375,0.5382624735,0.5816845442,0.9970107995,,,,,,,,0.661,0.556,,,0.568,0.551
02060812,36.1435193,7.82679214,48.9703115,8.97484275,7.97579678,501.891583,3.8078,5,200,5,4,20.28582358,Ashish,,1.210759966,0.5,1.931061118,0.257040688,0.8802595245,0.9984994004,,0.5889640041,0.5,0.5,0.5905764416,0.5212239016,0.9985009739,,,,,,,,0.724,0.563,,,0.650,0.570
02060813,39.2523303,8.47925941,52.7315897,9.83660367,8.54763348,451.514789,3.9,5,250,5,4,22.03066726,,,1.313159796,0.5,2.413826398,0.2791495178,0.7919044808,0.986804836,,0.6387755403,0.5,0.625,0.6413736682,0.4689066482,0.9868063911,,,,,,,,0.782,0.572,,,0.727,0.589
02060814,42.4917704,9.15785796,56.6496283,10.7401349,9.13642232,404.64799,3.9871,5,300,5,4,23.84882752,,,1.419754087,0.5,2.896591677,0.3021873384,0.7097055606,0.966748572,,0.6906274366,0.5,0.75,0.6943053429,0.420234591,0.9667500954,,,,,,,,0.835,0.584,,,0.803,0.612
02060815,48.097504,10.3294851,63.4269891,12.3151998,10.1406286,337.957913,4.12,5,400,5,4,26.9950879,,,1.603987743,0.5,3.862122236,0.3420534513,0.5927389139,0.9229124986,,0.7802463492,0.5,1,0.7859016862,0.3509756847,0.922913953,,,,,,,,0.940,0.611,,,0.952,0.655
03040709,26.4862469,5.91752526,42.4037722,5.78868712,6.84680369,630.771006,2.61213297,10,100,4,3.5,25.68776786,Ari ,,0.9025350579,1,0.965530559,0.1883613787,1.106299059,0.9419749813,,0.4390305892,1,0.25,0.4327789255,0.6550676199,0.9419764657,,,,,,,,0.599,0.523,,,0.495,0.500
03040710,29.3809137,6.54311508,45.9240287,6.51284397,7.47872988,588.214272,2.7375,10,125,4,3.5,28.49516934,Ashish,,0.9993981321,1,1.206913199,0.2089472862,1.031659492,0.9003502524,,0.4861488172,1,0.3125,0.4800770871,0.6108716468,0.9003516713,,,,,,,,0.611,0.534,,,0.523,0.520
03040711,31.7196469,7.04702574,48.7666726,7.10456837,7.98084521,547.652543,2.83039994,10,150,4,3.5,30.76339691,Rishie,,1.077529541,1,1.448295839,0.2255795788,0.9605189316,0.8659489564,,0.5241551842,1,0.375,0.518291427,0.568747524,0.865950321,,,,,,,,0.627,0.540,,,0.554,0.534
03040712,36.5527568,8.08459487,54.6373517,8.34377971,8.99765353,472.904827,3.0026,10,200,4,3.5,35.45080339,Jonathan,,1.238673803,1,1.931061118,0.259951049,0.8294201222,0.7975522472,,0.6025424551,1,0.5,0.5972632843,0.4911206072,0.797553504,,,,,,,,0.659,0.556,,,0.614,0.566
03040713,41.1715536,9.07203475,60.2435883,9.54588927,9.94668314,413.566353,3.1467,10,250,4,3.5,39.93035764,,,1.392326601,1,2.413826398,0.2927983956,0.7253473331,0.7382145298,,0.6772855665,1,0.625,0.6727333168,0.4294964797,0.7382156931,,,,,,,,0.695,0.576,,,0.678,0.600
03040714,45.7365911,10.0446147,65.7812058,10.7485883,10.866131,364.136475,3.2733,10,300,4,3.5,44.35777327,,,1.543908521,1,2.896591677,0.325263424,0.6386530701,0.685959998,,0.7510213171,1,0.75,0.7473249353,0.3781626164,0.6859610789,,,,,,,,0.734,0.600,,,0.743,0.637
03040715,55.4088183,12.0961595,77.5049778,13.3363174,12.7639979,283.942322,3.5013,10,400,4,3.5,53.73841251,,,1.864308236,1,3.862122236,0.3940490869,0.498001843,0.5940639938,,0.9068770638,1,1,0.9053668093,0.2948794718,0.5940649299,,,,,,,,0.817,0.661,,,0.878,0.722
03040809,29.7493012,6.62257567,46.3718768,6.60568004,7.55830011,536.602766,2.7526,10,100,4,4,23.77368711,Jonathan,,1.011712868,1,0.965530559,0.2115671356,0.9411389065,0.9676843898,,0.4921392168,1,0.25,0.4860964506,0.5572721216,0.9676859147,,,,,,,,0.610,0.516,,,0.503,0.508
03040810,32.6177335,7.24019627,49.8579297,7.3332322,8.17183116,495.299133,2.8643,10,125,4,4,26.06594977,Jonathan,,1.107504526,1,1.206913199,0.231966472,0.8686971331,0.9365476073,,0.5387362632,1,0.3125,0.5329659468,0.5143775175,0.9365490831,,,,,,,,0.628,0.527,,,0.534,0.528
03040811,35.2369311,7.80258275,53.0395138,8.00437112,8.72340708,460.14761,2.9581,10,150,4,4,28.15904042,Joey,,1.1948413,1,1.448295839,0.2505933342,0.8070454458,0.9054407909,,0.5812205027,1,0.375,0.5757630077,0.4778719961,0.9054422177,,,,,,,,0.645,0.538,,,0.565,0.547
03040812,40.0375764,8.82994237,58.8675188,9.2492891,9.7155388,403.799746,3.11293976,10,200,4,4,31.99540076,Rishie,,1.354630564,1,1.931061118,0.2847339269,0.7082178391,0.8474805359,,0.6589486466,1,0.5,0.6542044012,0.4193536736,0.8474818714,,,,,,,,0.681,0.561,,,0.629,0.584
03040813,44.2126855,9.7202891,63.9329746,10.3456259,10.5610804,361.42988,3.2326,10,250,4,4,35.33187366,,,1.493336164,1,2.413826398,0.3144259142,0.6339060169,0.7992149868,,0.7264208193,1,0.625,0.7224246831,0.3753517663,0.7992162462,,,,,,,,0.722,0.584,,,0.696,0.619
03040814,48.720312,10.6787069,69.399019,11.5415614,11.4583369,322.533701,3.3489,10,300,4,4,38.93407263,,,1.642849879,1,2.896591677,0.3464826546,0.5656866381,0.7508459371,,0.7991505083,1,0.75,0.7960782196,0.3349573488,0.7508471203,,,,,,,,0.763,0.612,,,0.763,0.658
03040815,58.1553157,12.6767883,80.832104,14.0794394,13.292327,268.164428,3.558,10,400,4,4,46.47390775,,,1.955126171,1,3.862122236,0.4135812629,0.4703292501,0.6631245578,,0.9510546849,1,1,0.9502439185,0.2784938305,0.6631256028,,,,,,,,0.848,0.682,,,0.899,0.749
03050709,26.8949977,6.00599989,42.9009975,5.89036,6.93678561,625.247541,2.6306,10,100,4.5,3.5,21.49271527,Rishie,,0.9162246864,1,0.965530559,0.1912682784,1.096611543,0.991403772,,0.4456897939,1,0.25,0.4394578156,0.6493313971,0.9914053343,,,,,,,,0.621,0.525,,,0.510,0.503
03050710,29.6414984,6.59932625,46.2408247,6.57850219,7.53502802,586.430394,2.7482,10,125,4.5,3.5,23.6875382,Rishie,,1.008109301,1,1.206913199,0.2108004779,1.028530777,0.9687480077,,0.4903862919,1,0.3125,0.4843349787,0.6090190557,0.9687495343,,,,,,,,0.642,0.535,,,0.544,0.522
03050711,32.6338533,7.24366189,49.8775152,7.33734325,8.1752498,535.40125,2.8649,10,150,4.5,3.5,26.07883165,Vaishnav,,1.108042361,1,1.448295839,0.2320811107,0.9390315871,0.9363613022,,0.5389978886,1,0.375,0.5332293405,0.5560243245,0.9363627777,,,,,,,,0.659,0.544,,,0.575,0.541
03050712,37.6414969,8.31769099,55.9591879,8.62568454,9.22321926,459.705194,3.0382,10,200,4.5,3.5,30.08061143,Vaishnav,,1.2749217,1,1.931061118,0.2676938064,0.8062694996,0.8762776354,,0.6201749398,1,0.5,0.6150530365,0.4774125387,0.8762790163,,,,,,,,0.694,0.561,,,0.638,0.574
03050713,42.0086631,9.25061647,61.2592796,9.76540745,10.116584,404.324954,3.171,10,250,4.5,3.5,33.57056376,,,1.420142246,1,2.413826398,0.29875164,0.7091389929,0.8243267128,,0.6908162534,1,0.625,0.6864114854,0.419899112,0.8243280119,,,,,,,,0.733,0.581,,,0.704,0.607
03050714,46.7201867,10.2537768,66.9739635,11.0094168,11.0620727,353.780234,3.2988,10,300,4.5,3.5,37.33570389,,,1.576534964,1,2.896591677,0.3322584287,0.6204894266,0.7717914981,,0.7668921759,1,0.75,0.7633966517,0.3674074643,0.7717927143,,,,,,,,0.772,0.606,,,0.769,0.645
03050715,56.8626161,12.4035982,79.2662143,13.7292564,13.0441823,270.73107,3.5317,10,400,4.5,3.5,45.44086715,,,1.912388479,1,3.862122236,0.4043880133,0.474830842,0.6741064551,,0.9302652936,1,1,0.9291215169,0.2811593367,0.6741075174,,,,,,,,0.853,0.670,,,0.902,0.735
03050809,30.22168,6.72441863,46.9460987,6.72492753,7.66006317,532.240898,2.7717,10,100,4.5,4,20.13499659,Vaishnav,,1.027499336,1,0.965530559,0.2149265365,0.9334886968,0.9990054201,,0.4998184114,1,0.25,0.4938150069,0.5527422392,0.9990069944,,,,,,,,0.625,0.519,,,0.512,0.512
03050810,33.1675408,7.35836806,50.5259088,7.47360204,8.28826653,490.173119,2.8846,10,125,4.5,4,22.09765708,Vaishnav,,1.125847755,1,1.206913199,0.2358765187,0.8597067001,0.986181173,,0.5476591729,1,0.3125,0.5419496663,0.5090540551,0.9861827271,,,,,,,,0.650,0.530,,,0.549,0.533
03050811,35.8694955,7.93819757,53.807693,8.1673577,8.85548065,454.171511,2.9797,10,150,4.5,4,23.89781672,Harry,,1.215917025,1,1.448295839,0.2550919219,0.7965640625,0.9661344759,,0.5914726119,1,0.375,0.5860989584,0.4716657042,0.9661359984,,,,,,,,0.672,0.541,,,0.584,0.552
03050812,40.4890634,8.92635534,59.4154188,9.36727323,9.80771342,399.672423,3.1265,10,200,4.5,4,26.97557362,Harry,,1.369641904,1,1.931061118,0.2879447523,0.7009789941,0.9232023964,,0.6662507863,1,0.5,0.6615815906,0.4150673706,0.9232038512,,,,,,,,0.715,0.564,,,0.652,0.588
03050813,45.1308749,9.91574235,65.0466172,10.5882466,10.7450937,352.61342,3.2573,10,250,4.5,4,30.06815016,,,1.523810021,1,2.413826398,0.3209557718,0.6184429704,0.8764665615,,0.7412445708,1,0.625,0.7374276778,0.3661957059,0.8764679426,,,,,,,,0.757,0.590,,,0.719,0.626
03050814,49.7449093,10.896186,70.6410952,11.8150037,11.660232,312.861755,3.3737,10,300,4.5,4,33.1422204,,,1.67680255,1,2.896591677,0.3537692499,0.5487231685,0.8305635198,,0.8156664998,1,0.75,0.8128198939,0.3249128499,0.8305648287,,,,,,,,0.799,0.618,,,0.787,0.667
03050815,59.5736542,12.976341,82.5499953,14.4644718,13.5635462,252.516132,3.5861,10,400,4.5,4,39.69055739,Joe,,2.002001286,1,3.862122236,0.4236680146,0.442883957,0.7412250573,,0.9738566901,1,1,0.9734192296,0.2622427791,0.7412262254,,,,,,,,0.884,0.689,,,0.922,0.760
03060709,27.4032952,6.11595725,43.5192525,6.01706914,7.04833421,619.19245,2.6532,10,100,5,3.5,18.25726616,Harry,,0.9332430964,1,0.965530559,0.1948831212,1.085991617,0.9953667604,,0.4539682564,1,0.25,0.4477632749,0.6430430705,0.995368329,,,,,,,,0.623,0.527,,,0.511,0.507
03060710,30.4970269,6.78375758,47.2807845,6.79453547,7.71923897,575.638073,2.7827,10,125,5,3.5,20.31844467,Harry,,1.036698174,1,1.206913199,0.216884712,1.0096023,0.9983774514,,0.504293109,1,0.3125,0.4983141093,0.5978110262,0.9983790247,,,,,,,,0.656,0.539,,,0.553,0.529
03060711,33.246834,7.37540546,50.6222395,7.49386716,8.30502814,528.705193,2.8875,10,150,5,3.5,22.15048566,Harry,,1.128492521,1,1.448295839,0.2364404256,0.9272874811,0.9856819323,,0.5489456973,1,0.375,0.5432452982,0.5490703427,0.9856834856,,,,,,,,0.681,0.547,,,0.589,0.546
03060712,38.0850239,8.41258706,56.497611,8.74078103,9.31476725,455.807877,3.0524,10,200,5,3.5,25.37389803,Harry,,1.28968202,1,1.931061118,0.270848023,0.7994340584,0.9464106579,,0.6273549734,1,0.5,0.6223001614,0.4733651013,0.9464121493,,,,,,,,0.726,0.564,,,0.659,0.578
03060713,42.9991978,9.46178785,62.4609856,10.0257815,10.316846,394.117904,3.1991,10,250,5,3.5,28.64793424,,,1.453044821,1,2.413826398,0.3057959933,0.6912370131,0.898033046,,0.7068214344,1,0.625,0.702596585,0.4092988975,0.8980344612,,,,,,,,0.767,0.586,,,0.726,0.615
03060714,47.8707861,10.4982874,68.3690734,11.3152595,11.2903811,342.386333,3.3279,10,300,5,3.5,31.89359808,Joe,,1.614688614,1,2.896591677,0.340441109,0.600505848,0.8489962329,,0.7854516981,1,0.75,0.7821971701,0.3555746826,0.8489975707,,,,,,,,0.807,0.612,,,0.792,0.655
03060715,58.4849501,12.7464244,81.2313745,14.1688581,13.35545,257.055038,3.5646,10,400,5,3.5,38.96521541,Joe,,1.966022007,1,3.862122236,0.4159255131,0.4508446708,0.7504461552,,0.9563548726,1,1,0.9556300656,0.2669565188,0.7504473378,,,,,,,,0.888,0.680,,,0.925,0.749
03060809,30.7900394,6.84688388,47.6369233,6.86869367,7.78211183,527.218729,2.7943,10,100,5,4,17.28114249,Unko,,1.046486107,1,0.965530559,0.2189685195,0.9246803959,0.9835140521,,0.5090543667,1,0.25,0.5031018633,0.5475266217,0.9835156019,,,,,,,,0.618,0.522,,,0.508,0.517
03060810,33.5769597,7.44632388,51.0232836,7.57831436,8.37474289,487.73963,2.8995,10,125,5,4,18.84532259,Unko,,1.139504089,1,1.206913199,0.2387881697,0.8554386431,0.9987931659,,0.5543021819,1,0.3125,0.548639473,0.5065268307,0.9987947399,,,,,,,,0.656,0.533,,,0.553,0.537
03060811,36.3065827,8.03185919,54.3384419,8.28017719,8.94648904,450.866397,2.9944,10,150,5,4,20.37734414,Unko,,1.230476159,1,1.448295839,0.2582003406,0.7907672766,0.9981462772,,0.5985547803,1,0.375,0.5932408585,0.4682332808,0.9981478501,,,,,,,,0.687,0.544,,,0.593,0.556
03060812,41.369745,9.11432522,60.4840702,9.59781444,9.98696818,391.571982,3.1525,10,200,5,4,23.21908228,Unko,,1.398913044,1,1.931061118,0.2942078669,0.6867717618,0.9743444416,,0.6804894866,1,0.5,0.6759717168,0.4066549094,0.974345977,,,,,,,,0.738,0.569,,,0.667,0.596
03060813,46.1234647,10.1268993,66.250364,10.8511203,10.9432887,343.439513,3.2834,10,250,5,4,25.88714342,Joe,,1.5567435,1,2.413826398,0.3280147404,0.6023530034,0.9391241447,,0.7572647845,1,0.625,0.7536463572,0.35666843,0.9391256246,,,,,,,,0.785,0.596,,,0.738,0.635
03060814,50.9474884,11.1512784,72.0987668,12.136672,11.8962972,302.405697,3.4021,10,300,5,4,28.5946632,Joe,,1.716640657,1,2.896591677,0.3623215924,0.5303844576,0.8988412929,,0.835045412,1,0.75,0.8324697481,0.3140540359,0.8988427093,,,,,,,,0.829,0.626,,,0.807,0.677
03060815,61.2004082,13.3196763,84.5200845,14.9071114,13.8733224,236.3393,3.6174,10,400,5,4,34.34919199,Joe,,2.055745271,1,3.862122236,0.435236948,0.4145116732,0.8131157965,,1,1,1,1,0.2454428331,0.8131170779,,,,,,,,0.916,0.698,,,0.944,0.774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,max,2.055745271,1,3.862122236,0.435236948,1.688831847,0.9999984242,,,,,,,,,,,,,,,,,,,,
