Combination,Propellant Mass [kg],Inert Mass [kg],Total Mass [kg] (including payload),First Stage Burn Time [sec],Second Stage Burn Time [sec],Maximum Dynamic Pressure (Max Q) [kPa],Delta V [km/s],Payload Mass (kg),Alt [km],Diameter 1,Diameter 2,(L/D),Name of Tester,Evaluation Function,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Normalized Data by max value,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D factor,Weights,time factor,payload factor,Altitude Factor,total mass factor,Dynamic Pressure Factor,L/D Factor,Value,Cost,,,Value,Cost
01050712,30.3020074,6.33695392,37.6389614,8.49817928,5.44856927,782.212916,5.1188,1,200,4.5,3.5,24.2153736,Jonathan,,0.996196325,0.1,1.931061118,0.2154977982,1.371910573,0.9620816119,,0.484591325,0.1,0.5,0.4951275374,0.8123429078,0.962083128,,,,,,,,0.688,0.620,,,0.619,0.589
01050713,32.0561556,6.69718001,39.7533356,9.01876522,5.72757503,714.049873,5.15593139,1,250,4.5,3.5,25.6171736,,,1.053310018,0.1,2.413826398,0.2279727168,1.252360516,0.9429784277,,0.5123738006,0.1,0.625,0.5237898985,0.7415542984,0.9429799137,,,,,,,,0.742,0.609,,,0.694,0.588
01050714,33.6420992,7.02273467,41.6648339,9.48999763,5.9791008,655.917598,5.1869,1,300,4.5,3.5,26.88455554,,,1.104935602,0.1,2.896591677,0.2392514202,1.150403259,0.924552822,,0.537486632,0.1,0.75,0.5497038368,0.6811828313,0.924554279,,,,,,,,0.796,0.600,,,0.770,0.588
01050715,36.4739045,7.60376501,45.0776696,10.3325716,6.42675754,569.765452,5.2369,1,400,4.5,3.5,29.14754829,,,1.197094939,0.1,3.862122236,0.2593902776,0.9993024048,0.8904455907,,0.5823167662,0.1,1,0.5959748566,0.5917121983,0.8904469939,,,,,,,,0.906,0.592,,,0.922,0.593
01050809,29.1597674,6.10229794,36.2620653,8.15957795,5.26640365,738.906898,5.0928,1,100,4.5,4,19.42750427,Jonathan,,0.9589986857,0.1,0.965530559,0.2073745673,1.295956849,0.9999860751,,0.4664968462,0.1,0.25,0.4764636096,0.767368789,0.999987651,,,,,,,,0.580,0.591,,,0.467,0.563
01050810,30.4336383,6.36399079,37.797629,8.53721618,5.46954221,699.220683,5.1217,1,125,4.5,4,20.27621243,Jonathan,,1.000482742,0.1,1.206913199,0.2164339134,1.226351839,0.9985344943,,0.4866764166,0.1,0.3125,0.4972783548,0.7261539041,0.9985360678,,bad,good,good,bad,bad,good,0.611,0.587,,,0.508,0.565
01050811,31.4614392,6.57506868,39.0365079,8.84219248,5.63307449,667.117409,5.1437,1,150,4.5,4,20.96097805,Jonathan,,1.033947641,0.1,1.448295839,0.2237432916,1.170046427,0.9951419241,,0.5029551351,0.1,0.375,0.5140723751,0.6928140469,0.9951434923,second Go,0.1,0.05,0.65,0.6,0.3,0.3,0.640,0.583,,,0.547,0.567
01050812,33.4568264,6.98470871,41.4415351,9.43491146,5.9497518,606.383551,5.1834,1,200,4.5,4,22.29039172,Jonathan,,1.098904519,0.1,1.931061118,0.2379338217,1.063526296,0.9843290636,,0.5345528621,0.1,0.5,0.5466765236,0.6297407867,0.9843306148,,bad sum,good sum,,,,,0.698,0.577,,,0.625,0.570
01050813,34.9906348,7.29946785,43.2901026,9.89105952,6.19250336,563.394467,5.2115,1,250,4.5,4,23.31228153,,,1.14882592,0.1,2.413826398,0.2488417569,0.9881284373,0.9732576005,,0.558836708,0.1,0.625,0.5717385852,0.5850958098,0.9732591342,,1,1,,,,,0.755,0.575,,,0.703,0.574
01050814,36.5645749,7.62236358,45.1869384,10.3595697,6.44106077,526.022042,5.2384,1,300,4.5,4,24.36090883,,,1.200045034,0.1,2.896591677,0.2600350954,0.922581546,0.9601848847,,0.5837518151,0.1,0.75,0.5974563892,0.5462838396,0.9601863978,,,,,,,,0.812,0.574,,,0.781,0.581
01050815,39.4322559,8.2104426,48.6426985,11.2141696,6.89266035,464.351456,5.283,1,400,4.5,4,26.27148253,,,1.293344996,0.1,3.862122236,0.2804290889,0.8144185033,0.9335647823,,0.6291367974,0.1,1,0.6443136093,0.4822377696,0.9335662534,,,,,,,,0.925,0.576,,,0.935,0.594
01060709,26.8434058,5.62619228,33.4695981,7.47398253,4.89564415,945.055701,5.035,1,100,5,3.5,17.88424351,Jonathan,,0.8835447629,0.1,0.965530559,0.190901374,1.657517899,0.9918377354,,0.4297929199,0.1,0.25,0.4386148163,0.98145822,0.9918392984,,,,,,,,0.576,0.654,,,0.465,0.601
01060710,28.1585259,5.89654465,35.0550706,7.86304415,5.10637384,891.951112,5.0687,1,125,5,3.5,18.76043367,Jonathan,,0.9263869993,0.1,1.206913199,0.2002540707,1.564378619,0.9984459374,,0.4506331656,0.1,0.3125,0.4601035635,0.9263080999,0.9984475108,,,,,,,,0.611,0.645,,,0.508,0.599
01060711,29.3053679,6.13221354,36.4375814,8.20271721,5.28964492,846.648712,5.0962,1,150,5,3.5,19.52450965,Rishi,,0.9637401521,0.1,1.448295839,0.2084100296,1.484923473,0.9999984242,,0.4688032927,0.1,0.375,0.4788426869,0.8792607007,1,,,,,,,,0.643,0.637,,,0.549,0.598
01060712,31.218476,6.52517666,38.7436526,8.77008408,5.59444629,772.729007,5.1386,1,200,5,3.5,20.79910541,Vaishnav,,1.026037884,0.1,1.931061118,0.2220154181,1.355276899,0.9960987887,,0.4991075002,0.1,0.5,0.5101024146,0.8024936889,0.9961003584,,,,,,,,0.703,0.625,,,0.629,0.597
01060713,33.0599371,6.90324477,40.9631819,9.3169627,5.88684363,704.51187,5.1758,1,250,5,3.5,22.02596682,,,1.085986166,0.1,2.413826398,0.235111277,1.235631966,0.9868481962,,0.5282688383,0.1,0.625,0.5401914476,0.7316489019,0.9868497513,,,,,,,,0.762,0.614,,,0.707,0.596
01060714,34.5873314,7.21671388,42.8040452,9.77107376,6.12872473,648.642648,5.2043,1,300,5,3.5,23.04358328,,,1.135699892,0.1,2.896591677,0.2459735972,1.137643842,0.9763524985,,0.5524516621,0.1,0.75,0.5651487044,0.6736276582,0.9763540371,,,,,,,,0.819,0.606,,,0.785,0.596
01060715,37.6048411,7.83572481,46.4405659,10.669426,6.60506137,558.416044,5.2552,1,400,5,3.5,25.05397938,,,1.233891955,0.1,3.862122236,0.2674331226,0.9793968618,0.9508577435,,0.6002163654,0.1,1,0.6144540895,0.5799256234,0.9508592419,,,,,,,,0.933,0.598,,,0.940,0.603
01060809,29.9744932,6.2696786,37.2441718,8.40105273,5.39638314,733.134516,5.1115,1,100,5,4,16.82341102,Vaishnav,,0.9855311336,0.1,0.965530559,0.2131686262,1.285832762,0.9746874872,,0.4794033323,0.1,0.25,0.4897760339,0.7613740611,0.9746890231,,,,,,,,0.569,0.596,,,0.460,0.570
01060810,31.2658877,6.5349128,38.8008005,8.78415431,5.60198552,694.835394,5.1396,1,125,5,4,17.54821595,Vaishnav,,1.027581416,0.1,1.206913199,0.2223525943,1.218660552,0.9876292056,,0.4998583388,0.1,0.3125,0.5108771105,0.7215996986,0.987630762,,,,,,,,0.606,0.593,,,0.504,0.573
01060811,32.4278739,6.77349504,40.2013689,9.12917285,5.78658268,660.616803,5.1634,1,150,5,4,18.20038949,Vaishnav,,1.065411109,0.1,1.448295839,0.2306162537,1.158645119,0.9949012342,,0.5182602748,0.1,0.375,0.5298636864,0.6860630446,0.994902802,,,,,,,,0.640,0.590,,,0.547,0.576
01060812,34.5097548,7.20079515,42.7105499,9.74800068,6.11645411,599.126331,5.2029,1,200,5,4,19.36886089,Vaishnav,,1.133175342,0.1,1.931061118,0.2454218982,1.050797975,0.9999541588,,0.551223616,0.1,0.5,0.5638811213,0.6222040264,0.9999557345,,,,,,,,0.705,0.585,,,0.630,0.580
01060813,36.1801668,7.54351054,44.7236773,10.2451019,6.38040085,552.160236,5.232,1,250,5,4,20.30639226,,,1.187535911,0.1,2.413826398,0.2573013128,0.9684249014,0.9984230165,,0.5776668575,0.1,0.625,0.591175253,0.5734288485,0.9984245898,,,,,,,,0.767,0.581,,,0.711,0.585
01060814,37.7955187,7.87482914,46.6703478,10.7262534,6.63509639,513.246093,5.2582,1,300,5,4,21.21302073,,,1.240096414,0.1,2.896591677,0.2687891583,0.9001740158,0.9934789098,,0.6032344721,0.1,0.75,0.6175697158,0.533015775,0.9934804754,,,,,,,,0.827,0.581,,,0.791,0.591
01060815,40.8431826,8.49968589,50.3428685,11.6350548,7.11432076,448.856898,5.3031,1,400,5,4,22.92354515,,,1.339241111,0.1,3.862122236,0.2904631303,0.7872428488,0.9776957022,,0.6514625766,0.1,1,0.6673678134,0.4661463781,0.9776972429,,,,,,,,0.945,0.584,,,0.948,0.605
02040709,24.3157854,5.32993234,34.6457177,5.75896081,5.72040955,809.515984,3.34672516,5,100,4,3.5,23.58273911,Omkar,,0.8199550257,0.5,0.965530559,0.1729257784,1.419796983,0.9700280662,,0.398860227,0.5,0.25,0.3973141048,0.8406976603,0.9700295948,,,,,,,,0.587,0.575,,,0.479,0.530
02040710,26.3570406,5.76284962,37.1198902,6.30528254,6.12068652,764.205136,3.4425,5,125,4,3.5,25.56245673,Joe,,0.8875692186,0.5,1.206913199,0.1874425064,1.34032702,0.9437539377,,0.4317505826,0.5,0.3125,0.4306677255,0.7936414877,0.9437554249,,,,,,,,0.606,0.576,,,0.511,0.540
02040711,28.1370305,6.13958057,39.276611,6.78504589,6.46545453,713.044683,3.5195,5,150,4,3.5,27.2887854,Joe,,0.9464643157,0.5,1.448295839,0.2001012026,1.250597529,0.9185349995,,0.4603996073,0.5,0.375,0.4597523338,0.7405103896,0.918536447,,,,,,,,0.626,0.572,,,0.544,0.544
02040712,31.3984707,6.82819921,43.2266699,7.67127926,7.08803507,629.906918,3.6472,5,200,4,3.5,30.45190319,Joe,,1.054236738,0.5,1.931061118,0.2232954805,1.104783549,0.8706548016,,0.5128245958,0.5,0.5,0.5130434849,0.6541702482,0.8706561736,,,,,,,,0.667,0.569,,,0.611,0.555
02040713,34.0889108,7.39483457,46.4837454,8.40851263,7.59378612,571.145889,3.7415,5,250,4,3.5,33.06123478,,,1.143021339,0.5,2.413826398,0.2424289957,1.001723531,0.8317479633,,0.5560131185,0.5,0.625,0.5570046312,0.5931458082,0.831749274,,,,,,,,0.712,0.571,,,0.681,0.568
02040714,36.8937639,7.98437014,49.8781341,9.18229156,8.11445557,516.123788,3.8309,5,300,4,3.5,35.78153017,,,1.235481938,0.5,2.896591677,0.262376178,0.9052211585,0.7929512472,,0.6009897992,0.5,0.75,0.6028352585,0.5360043156,0.7929524968,,,,,,,,0.757,0.576,,,0.750,0.583
